Date,State,Total Cases,Confirmed New C19 Case,Total Death,Confirmed New C19 Death
2021-11-12,NY,"1,481,688","5,009","21,760",25
2021-06-08,NY,"1,153,736",221,"19,844",9
2021-06-26,TX,"2,984,022","1,845","51,409",14
2021-01-13,NY,"674,674","8,755","14,180",130
2020-11-13,TX,"1,088,970","13,316","21,315",166
2021-11-19,TX,"4,286,622","4,370","72,082",100
2021-04-14,NY,"1,078,165","3,298","19,098",24
2021-06-16,TX,"2,970,470","1,433","51,250",19
2021-09-24,NY,"1,321,300","4,463","20,818",19
2021-09-08,NY,"1,266,531","2,455","20,456",20
2021-12-31,TX,"4,576,799","15,762","74,491",0
2020-11-06,TX,"1,017,677","9,239","20,283",146
2021-01-01,NY,"559,358","11,204","12,701",135
2021-08-01,TX,"3,128,102","2,359","52,106",21
2021-09-30,TX,"4,046,932","10,247","63,976",350
2021-05-26,NY,"1,148,695",590,"19,736",14
2020-12-26,NY,"510,100","6,857","12,091",91
2021-06-08,TX,"2,955,535","1,792","51,102",19
2021-03-15,TX,"2,721,126","2,743","47,807",83
2021-03-24,NY,"998,316","3,469","18,638",26
2021-01-23,TX,"2,228,961","17,672","38,815",290
2021-10-13,NY,"1,383,582","3,519","21,276",25
2021-01-20,TX,"2,166,283","31,255","37,876",338
2020-11-23,TX,"1,201,257","7,641","22,970",179
2020-12-14,TX,"1,482,141","9,430","27,183",221
2021-04-27,TX,"2,871,871","5,608","49,832",44
2021-04-08,TX,"2,809,497","4,699","49,060",34
2021-08-29,NY,"1,238,214","2,917","20,270",22
2020-10-29,NY,"241,569","1,439","9,251",12
2021-08-31,TX,"3,590,156","28,245","55,635",231
2021-09-07,TX,"3,697,884","7,103","57,238",128
2021-11-09,NY,"1,467,214","3,258","21,676",30
2021-09-04,NY,"1,256,486","3,374","20,370",18
2021-01-25,NY,"772,569","6,308","15,618",117
2020-10-31,TX,"900,596","7,145","19,471",111
2021-02-28,TX,"2,644,024","3,815","46,402",101
2020-12-03,NY,"353,040","6,548","10,172",55
2020-12-02,NY,"346,492","5,775","10,117",56
2021-12-25,TX,"4,486,466","15,336","74,092",0
2021-04-16,NY,"1,085,444","3,129","19,141",19
2021-01-26,TX,"2,273,119","26,274","39,787",327
2020-12-21,TX,"1,591,948","10,280","28,782",232
2021-10-19,TX,"4,172,288","6,746","68,043",196
2020-10-04,TX,"765,894","2,884","17,156",60
2021-05-16,NY,"1,141,186",933,"19,638",15
2021-01-11,NY,"656,699","8,424","13,928",123
2021-01-14,NY,"682,976","8,302","14,325",145
2021-02-14,TX,"2,560,060","6,933","44,267",172
2021-04-18,NY,"1,092,654","3,016","19,179",14
2020-11-16,TX,"1,116,230","7,828","21,772",173
2020-11-15,TX,"1,108,402","7,923","21,599",149
2020-12-10,NY,"398,898","6,808","10,598",77
2021-12-07,TX,"4,351,747","4,955","73,052",63
2021-12-05,TX,"4,342,918","5,231","72,986",30
2021-03-02,NY,"924,361","2,683","18,064",33
2021-10-31,NY,"1,438,453","2,794","21,760",26
2021-03-14,TX,"2,718,383","2,628","47,724",64
2021-12-10,NY,"1,644,585","8,092","22,616",49
2021-05-15,NY,"1,140,253","1,370","19,623",11
2021-05-08,TX,"2,903,694","2,190","50,229",31
2021-05-23,TX,"2,932,082",768,"50,710",38
2020-12-13,NY,"420,108","6,816","10,834",91
2021-04-22,TX,"2,857,017","3,341","49,638",39
2021-05-22,TX,"2,931,314","1,353","50,672",23
2021-11-01,NY,"1,440,632","2,179","21,786",26
2020-11-21,TX,"1,183,847","14,922","22,618",155
2021-05-05,TX,"2,896,218","2,504","50,132",39
2021-07-05,TX,"2,994,817",346,"51,507",9
2021-11-10,TX,"4,255,280","3,670","70,862",0
2020-11-26,TX,"1,251,345","14,697","23,528",171
2021-11-11,NY,"1,476,679","5,301","21,735",34
2021-06-02,NY,"1,151,698",263,"19,792",4
2021-01-09,NY,"638,239","10,899","13,694",143
2021-08-20,NY,"1,213,128","2,782","20,135",12
2021-08-01,NY,"1,174,038","1,254","19,990",5
2021-03-29,TX,"2,775,669","3,589","48,649",46
2021-01-21,NY,"742,538","8,688","15,184",119
2021-02-27,TX,"2,640,209","11,093","46,301",113
2021-01-17,NY,"712,961","8,091","14,698",128
2020-11-30,TX,"1,278,432","11,725","24,255",186
2021-10-09,TX,"4,119,056","5,284","66,332",275
2021-06-26,NY,"1,156,956",160,"19,922",3
2021-09-21,TX,"3,938,888","13,156","61,178",346
2021-08-21,NY,"1,216,034","2,906","20,148",13
2021-10-10,TX,"4,120,845","1,628","66,465",133
2021-12-12,TX,"4,372,008","2,590","73,400",36
2021-04-04,TX,"2,793,524","1,714","48,895",36
2021-12-15,NY,"1,677,912","7,860","22,851",55
2021-06-03,NY,"1,151,994",296,"19,799",7
2021-10-31,TX,"4,222,311",665,"69,981",59
2020-10-22,NY,"233,558","1,098","9,177",11
2020-10-15,NY,"227,126",952,"9,127",9
2021-08-12,TX,"3,278,469","14,920","52,787",120
2021-12-25,NY,"1,780,756",0,"23,271",0
2021-03-22,NY,"991,538","2,796","18,594",17
2021-05-14,TX,"2,917,256","2,613","50,422",37
2021-09-27,TX,"4,008,025","5,792","62,980",38
2020-10-22,TX,"845,100","6,291","18,474",88
2021-04-21,TX,"2,853,676","4,856","49,599",38
2021-11-03,TX,"4,233,278","4,737","70,293",164
2021-09-14,NY,"1,286,202","2,553","20,576",21
2021-11-24,NY,"1,540,890","5,697","22,043",25
2021-09-20,TX,"3,925,108","5,271","60,832",48
2020-10-07,NY,"220,268",812,"9,084",7
2020-12-06,TX,"1,375,313","10,380","25,426",177
2020-11-13,NY,"272,361","3,575","9,457",19
2021-09-29,TX,"4,035,920","11,819","63,626",381
2021-03-01,NY,"921,678","2,732","18,031",28
2021-10-04,NY,"1,353,306","1,834","21,047",14
2021-05-09,TX,"2,905,110","1,416","50,258",29
2021-07-06,TX,"2,995,819","1,002","51,511",4
2021-05-12,NY,"1,136,256","1,143","19,591",10
2021-11-23,TX,"4,296,053","3,541","72,301",93
